id,Text,Opinion
651975607270699008,"The Biochemist Who Cured His #Cancer With #Cannabis Oil 

http://t.co/7YakCxRvmL 
#marijuana #hempoil #cbd #MME http",for
1048102104110383104,#Cancer  #CBD #THC                        34 #medicalstudies proving #cannabis #curescancer.  http,neutral
768309896630513664,Getting ready for bed like.. #icantfeelmyface when I'm this #high #cannabis #medicine #cancer,against
719157225235816448,#Cannabis for Chemotherapy - http #relief #cancer http,neutral
582899227329720320,"Joe Banning

#cancer #marijuana #cannabis #hemp #dank #vote #medicalmarijuana #kush #dabs #cbd #epilepsy #VT http",neutral
497566667174445056,"""One way cannabinoids kill #cancer cells is thru a process known as cell apoptosis, or programmed cell death."" (Werner 25) #pot #cannabis",for
516025763863490560,"Its time for medical marijuana in Georgia
 
#medicalmarijuana #Georgia #cannabis #thc #epilepsy #cancer #PTSD http",for
645537801115729920,"Cannabinoids as therapeutic agents in cancer:

http://t.co/v40iZ8j1lz
#MME #cancer #cannabis #cbd http",for
498487734936543232,"Marijuana Shown to Be Less Damaging to Lungs Than Tobacco - 
#medicalmarijuana #cancer #usa #thc #lungs #cannabis http",for
654248159942733824,"The Biochemist Who Cured His #Cancer With #Cannabis Oil 

http://t.co/n4peHDuuRF 
#marijuana #hempoil #cbd #MME http",for
806590391663427584,"#CBD Oil #hemp #cannabis w/o the THC, helps people with #PTSD #migraines #pain #diabetes #Cancer etc. 25% Off!  http",for
496546319062679552,"""@trutherbot: RUN FROM THE CURE - DOCUMENTARY ABOUT #CANNABIS OIL CURING #CANCER: http",against
878008162615472129,Cannabis Oil Cures 3-Year-Old Boy of Cancer After Doctors Gave Him 48 Hours to Live http #cannabis #cancer,for
576922128546574336,#medicalmarijuana #cancer #ms #epilepsy #reform #cannabis #USA #MME #cancer #medical health #thc #cbd #hempoil http,for
575868199360684032,"Cannabis for Chronic Pain 

#cannabis #depression #health #medical #medicalmarijuana #ms #cancer #glaucoma http",for
722543854856048640,"20 Medical Studies That Show #Cannabis Can Be A Potential Cure For #Cancer 

 http  http",for
571941048706056192,"Rocky Anderson
http://t.co/v2bihH8VRB

#cancer #marijuana #cannabis #hemp #dank #vote #medicalmarijuana http",neutral
616423938156068865,"Worth repeating: #Marijuana decreases risk of #lung cancer: 

http://t.co/DHPGzbYRLl 
#Cancer #thc #cbd #cannabis http",for
1108831446217555968,#Cannabis kills all types of #cancer cells that science has tried it on. #educationisthekeytochange #medicalmarijuana http,for
546723036146434048,Did you know #Juicing #Cannabis cures #Cancer and more!?!?  #fucr http,for
291472605200924672,"The Zionistic-Coptic #Church supports #medical #cannabis 4 #asthma, #glaucoma, joint #inflammation, &amp; #cancer.",for
642050218842828801,"#Oncologists Want #Cannabis Legalized To Fight #Cancer - http 
#cannabis #thc #cbd #hempoil #MME http",for
607669336820596736,"Patty Murray
http://t.co/e8xghNvDgo

#cancer #marijuana #cannabis #hemp #kush #dabs #cbd #epilepsy #thc http",neutral
793122218599383040,"RT #WEED #CANCER http CannabisTU: Strain name ideas?

Enroll today at the leading #cannabis co http",for
644163818206167040,"#THC and other #cannabinoids inhibit tumor growth

http://t.co/sAUQBJ9xV7 
#cbd #cannabis #tumor #cancer #MME #cbdoil http",for
1274243424162582528,A #Cancer Survivors Guide to Using #Cannabis to Cope With Chemotherapy #EndOurPain http http,for
651740458448781312,"""Medical Marijuana Helped Save This Child From #Cancer
http://t.co/x7FZkTz7JT 
#marijuana #cannabis #MME #Cancer http",for
1205105034683408384,http WATCH NOW before our FREE Edu-Series ends 12/31. Go to http for mind-blowing info about #cannabis #cancer #alzheimers #prevention #lifestyle #gluten #nutrition &amp; more!,for
1358775890994429954,#Cannabis can not stop radiation driven #Cancer http,against
538016872483278848,NEWCASTLE UNIVERSITY: Hype around #cannabis as a treatment for #cancer is undeserved http #breakthetaboo,against
665117024327041028,Teenage Girl Uses #Cannabis To Treat #Leukemia &amp; Great Results Were Seen Published #CaseStudy |#CannabisOil #Cancer http,for
703150051850256384,New #Study Shows #Cannabis Improves Conventional #Brain #Cancer Treatment |#MedicalMarijuana #CannabisOil #Marijuana http,for
632989494376013824,Cannabis and Cannabinoidsfor health professionals http #Cannabis #Medicine #Health #Regulator #Cancer,for
700363597008936960,Mehn #Cancer is a bitch. So sad yr 2016 ppl are still #Dying b/c of it. Decriminalize #Marijuana. #Cannabis for the sick. #RIPBigAng,for
657066420707061761,How #Cannabis Cures #Cancer (+30 Medical Researches) |#MMJ #MedicalMarijuana #CBD #THC #CannabisOil #Marijuana http,for
620021638088757249,"Walter Cronkite
http://t.co/mJjXQ0BoqE

#cancer #marijuana #cannabis #hemp  #cbd #epilepsy #thc http",neutral
716427431310204928,"If u suffer from
#pain
#depression
#insomnia
#bipolar
#cance
or any disorder
 Give
#mmj a chance
 U wont regret it
 I promise you
#Cannabis",for
281513583009992705,RT @user Father helps son battle Brain #Cancer by giving him #cannabis. http #marijuana #thecure,for
819355157972578304,"22 Vets/Day = #Suicide
#WomenGrow #WeedForWarriors #TheCure #PlantsOverPills #MedicalMarijuana PTSD #Cancer #Ganja #LegalizeIt #Cannabis http",for
645354924948213760,"""Medical Marijuana Helped Save This Child From #Cancer
http://t.co/ArXqtPdI81
#marijuana #cannabis #MME #Cancer http",for
894683346726510593,Study shows that people who regularly consume #cannabis have lower incidents of #cancer than their counterparts. http,for
65351933212377088,RT @user Man #Cured of #Cancer #Applying #Hemp Oil (#Real #Weed) #Cannabis http #med... http,for
573200803474898944,"Cannabis= Anti Cancer
http://t.co/Yvb5GoOzkm

#marijuana #cannabis #cancer #hemp  #vote   #cbd http",for
956576992991858688,"Cannabis is safer and healthier than the majority of your groceries, think about that. #thc #cbd #cannabis #weedoil #mmj #wietolie #CB1 #CB2 #cancer #epileptic #opiatreplcement #AIDS #COPD http",for
1107825704182247424,"Harvard University Finds Cannabis Cuts Tumor Growth in Half in Three Weeks 
#cannabis #cancer #lungcancer 

https://t.co/Pc1zY9xWD1",for
610951100271824896,"American Cancer Society 
http://t.co/0eAz2yCDVg

#cancer #marijuana #cannabis #hemp  #kush #dabs #cbd http",neutral
1245055971032018959,"#MedicareForAll 
#Cannabis as food like #God said 
#JimCrow has got to go 
#Cancer is #Cannabinoid deficiency from #Prohibition 
Here we are still acting like #Food from #God to heal the nations is #Dangerous ~ #Cannabinoids are #Nutrients 
#SocialismHeals #CapitalismKills http",for
781269518978953216,Adding #Cannabis to Colon #Cancer Treatment - What the Studies Say  http http,neutral
570454272904716288,"Cannabis for Chronic Pain 

#cannabis #depression #health #medical #medicalmarijuana #ms #cancer #glaucoma http",for
591790096346669056,"Terry McAuliffe
http://t.co/1gzdbb9puy

#cancer #marijuana #cannabis #kush #dabs #cbd #epilepsy http",neutral
656906055515942913,#Utah #Cancer Patient Says #Cannabis is a #HumanRight  #MMJ #MedicalMarijuana #CBD #THC #CannabisOil #Marijuana http,for
635133898054336512,"Medical Marijuana Can Ease #Pain and Lessen Side Effects

http://t.co/P2c9WxbIqR 
#marijuana #cannabis #cancer http",for
676021863085158400,"Cancer patient: 'I had to become an outlaw or die' 

https://t.co/d5TepyhuLz  via @user #MME #Cancer #Cannabis http",for
237143250761297921,"""One way cannabinoids kill #cancer cells is thru a process known as cell apoptosis, or programmed cell death."" (Werner 25) #pot #cannabis",for
690193437459664897,Could #Cannabis Cure #Cancer? Man Cured Using #CannabisOil http,for
670525055239979009,Teenage Girl Uses #Cannabis To Treat #Leukemia &amp; Great Results Were Seen Published #CaseStudy |#CannabisOil #Cancer http,for
297467629424242690,indebited to Phil for lending me the Len Richmond #DVD 'what if #cannabis cured #cancer' thought-provoking with serious medical credibility,against
630919943765270528,"Here's What #Marijuana Does to Breast #Cancer 

http://t.co/rYnc5lAkRt -  #cannabis #cbd #marijuana #marijuananews http",neutral
847433310984900608,"Amazing Recovery of a Boy Fighting Two-Types of Cancer  Once His Mum Gave Him Cannabis #Cannabis #Cancer
https://t.co/McF41bdKZc http",for
1010518403554185217,http Why #Cannabis #Smoke Wont Give you #Cancer http,for
1201141746681491458,"#cannabis increases the #risk of #testicular #cancer by over 36%.
#CannabisCommunity",against
658069330547052544,"The Biochemist Who Cured His #Cancer With #Cannabis Oil 

https://t.co/WybP8XKYt6 
#marijuana #hempoil #cbd #MME http",for
1104433957553074176,Everyone needs to watch this. Especially of you have a chronic illness and you hate big pharma. #IF #FASTING #MindBlown #Asthma #Cancer #chronicpain #arthritis #Autoimmune #fattyliverdisease #Diabetes #GeneTherapy #gene http,for
613105505540681728,"Terry McAuliffe
http://t.co/mA7uFzWita

#cancer #marijuana #cannabis #kush #dabs #cbd #epilepsy http",neutral
571028750797828096,"Paul Whitesell
Superintendent Indiana State Police
http://t.co/0LjMKjbenp

#cancer #marijuana #cannabis #pot http",neutral
551960859178582016,Watch #Cancer Cells Being Destroyed By #CANNABIS OIL http #weed #pot #marijuana,for
40400748936310784,Cannabis ingredient 'restores taste buds and lost pleasure in food to cancer patients' !!! http #cannabis,for
1271437738248732673,"MOOR HEMP WORLD cultivation is coming along! Happy Holy Day 
https://t.co/chAaxDelQQ
#moorhempworld
#bodybutter #cbd #hemp #cannabis #moor #oligospermia #endocannabinoid #eczema #autism #insomnia #pstd #anxiety #infertility #cancer #stress #virus #alopecia #diabetes #arthritis http",for
1154028629728346115,University of Guelph researchers are the first to uncover how the #cannabis plant creates important pain-relieving molecules that are 30 times more powerful at reducing #inflammation than Aspirin. http #weed #herb #420 #fourtwenty #marijuana #cancer #science,for
631696005713559552,"Here's What #Marijuana Does to Breast #Cancer 

http://t.co/VIIsv9pSkp -  #cannabis #cbd #marijuana #marijuananews http",neutral
932416967612469248,"As a contributor to the content for this incredible Canadian cannabis accessories company, I explored the topic of #cannabis and #cancer and how there are two different perspectives on the issue with Canndora. http",neutral
687400523864141825,Will @user involved help promote proper scientific investigation of #cannabis for #cancer? #mmj @user http @user,neutral
1137834310369775616,"Natural ways to fight #cancer w/ nutrition, #essentialoils, #homeopathy, #detox, #fasting and more. #anticancerrevolution http http",for
471456084113489921,Rick Simpson and Jindrich Bayer book on how to use #cannabis extract medicine to cure #cancer: http,for
1239994925682429957,"You are when you eat? Andrea De Censi @user recommends a paper describing the effects of intermittent #fasting on health, #aging, and disease. #nutrition #cancer #obesity http http",for
524116962289278976,"""The effects of #smoked #cannabis in painful peripheral neuropathy &amp; #cancer #pain refractory to #opioids."" http",for
698458680963002368,"How Marijuana Helps People With Cancer

 http  #MME  #Cancer #cbd #cannabis http",for
699136803958198272,"How Marijuana Helps People With Cancer

 http  #MME  #Cancer #cbd #cannabis http",for
568301298635796480,"Cannabis Study 

#cannabis #depression #health #medical #medicalmarijuana #marijuana
#weed #cancer #treatment http",for
649569863917305856,"A Cancer patient's journey with Medical Marijuana

http://t.co/PtRb0m51Be  #MME #cannabis #thc #cbd #Hempoil #Cancer http",neutral
570629119035219968,"National Organization of Women
http://t.co/0T2sVlFa7r

#cancer #marijuana #cannabis #hemp # http",neutral
1006332103917821953,"We just been talking to a mother (her husband is a soldier in the UK army) &amp; she has terminal cancer &amp; is ""not ready to leave"" her children yet. 
@UKLEAP @user @user 
@UKLabour @user 
#ThisIsCannabisProhibition #UKForces 
#Cannabis #Cancer #CannabisCures",for
904351890380427266,"#cancer, #pain, #opioid crisis, #PTSD, #epilepsy . few conditions #cannabis shows help! #Cancer alone should be enough to push research!",for
845277755856039936,#holistic #Doctor #Mystery #cannabis #cancer #autisim #TalkRadio #podcast #naturopathic #GcMAF #RFKJr #DeNiro We explore the connected world http,neutral
676929515495518208,"#Cancer patient says medical #marijuana has changed her life 

https://t.co/tZnupJfF1u  #MME      
 #cannabis http",for
571370599928483840,#Marijuana #Crowdfunding A Fast Emerging Industry to Watch In 2015 http @user @user #cannabis #cancer,neutral
1057346439687348224,#Dabbing #cannabis concentrates can impart faster relief for #chronicpain associated w/ severe illness such as #cancer or lingering injuries &amp; for those suffering from #PTSD. http #pain #painrelief #healthandwellness #dab #dabs #marijuana http,for
980228410420195329,Could #cannabis help cure lung #cancer? This man thinks so  and hes already spent 1.5m on research http #leukemia #cancerawareness http,neutral
1394652381200125955,Thanks @user for mentioning our #cancer &amp; #cannabis webinar &amp; referencing experiences from the YCE community. More research is needed for a balanced view between the medical benefits of cannabinoids &amp; the valid concerns from the healthcare community http,neutral
640841935758995456,"#Cannabidiol Induces Programmed Cell Death in #Breast #Cancer
http://t.co/a5XNbxwMKq 

#cannabis #cancer #marijuana http",for
603204005343436800,"Cannabis and Cancer
http://t.co/2s1VMfHNUs

#Cannabis #cancer #marijuana #medical #pain #thc, #cbd #hempoil #tumors http",neutral
1082776884893700099,Going to take my drops for this night.. Royal Gorilla .. have the same good night as I will. #thc #cbd #cannabis #weedoil #mmj #wietolie #CB1 #CB2 #cancer #epileptic #opiatreplcement #AIDS #copd #apneu #sleep http,for
643318888906792960,"A Cancer patient's journey with Medical Marijuana

http://t.co/U0Lx6Nab3D  #MME #cannabis #thc #cbd #Hempoil #Cancer http",neutral
733872142526210048,Grateful to #educate the folks at the @user on how #cannabis can help #pediatric #cancer #drcristinasanchez http,for
873662645450231809,"This Study Could Prove That #Cannabis Makes #Cancer Disappear 

https://t.co/pW5RziEih9  http",for
646365916918378496,"#Cannabinoids and cancer
http://t.co/IKqMeInuBl 

#MME #cancer #cannabis #cbd #marijuana  #medicalmarijuana http",neutral
784071396653670400,"Danish couple face 10 years in prison for selling #cannabis  to #cancer patients - The Independent
https://t.co/KsnA3EZwV4",against
567474679578120193,"Charles Rowland
http://t.co/v2Cb17S3Do

#cancer #marijuana #cannabis #hemp #dank #vote#kush #cbd http",neutral
997973808094072837,The only way to make money out of a free plant medicine.. they are realizing that they lost the fight against the plant #thc #cbd #cannabis #weedoil #mmj #wietolie #CB1 #CB2 #cancer #epileptic #opiatreplcement #AIDS #copd #apneu http,for
673725427463098368,"Cannabis reduces tumor growth in study 
https://t.co/SZcJC9TEB3  
#MME #cannabis #cancer #marijuana http",for
883434235759136768,"RT @user #Cannabis is illegal because it can treat #cancer, seizures, anxiety, glaucoma, and depression. http",for
681255775457525764,"#Cannabis Can Cure #Cancer, Its #HighTime We Stop Arresting People | #CannabisOil #MedicalMarijuana #Marijuana http",for
1262085494881562624,"A combo of fasting plus vitamin C is effective for hard-to-treat cancers, USC study shows. http #fasting #vitaminC #cancer #immunesystem #nutrienttherapy",for
1271612110301249537,"We are open for business 
MOOR HEMP WORLD
https://t.co/lYG120oNGU
#acne #cbd #hemp #cannabis #moor #oligospermia #endocannabinoid #eczema #autism #oil #insomnia #pstd #anxiety  #infertility #cancer #stress  #virus #alopecia #diabetes  #chronicpain #arthritis #autoimmunedisease http http",neutral
582794021271003136,"Dear RH @user and @user mother who understands #usury= treason, #embryology explains #lgbtq and #cannabis cures #cancer. Right?",for
633440392696999937,"#Oncologists Want #Cannabis Legalized To Fight #Cancer  http 
#hempoil #thc #cbd #marijuananews http",for
743047771175931904,Does Cannabis Oil treat Cancer?  http #Cannabis #cancer,neutral
805092889227313152,Is there such a thing as minor surgery? #prevention against #cancer with #cannabis is helping people http,for
1014939736320901121,"8 Proven #CBD Benefits
Don't forget to #Like and #ReTweet
#LiveCBDHealthy #CBDOil #Cannabis #marijuana #CannabisCommunity #HempOil #Healthy #HealthyLiving #Pain #ChronicPain #Fibromyalgia #Anxiety #cancer #diabetes http",for
